PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
D'Angelo Russell,MIN,24,36,8,28,1162,845,294,686,42.9,129,347,37.2,128,160,80,15,119,134,235,113,34,10,70,1377.3,3,0,-254
Derrick Rose,DET,31,47,16,31,1231,844,345,710,48.6,42,141,29.8,112,130,86.2,24,89,113,267,118,36,15,46,1415.1,4,0,-77
Rudy Gobert,UTA,27,54,35,19,1869,840,320,465,68.8,0,0,0,200,326,61.3,195,583,778,81,107,35,104,166,2205.1,43,0,312
Hassan Whiteside,POR,30,53,26,27,1640,838,349,572,61,2,4,50,138,198,69.7,213,534,747,65,102,21,164,158,2284.9,43,0,66
Fred VanVleet,TOR,25,47,35,12,1682,831,282,687,41,128,329,38.9,139,165,84.2,18,160,178,316,107,90,13,113,1720.6,6,0,205
Harrison Barnes,SAC,27,56,23,33,1947,828,286,627,45.6,81,214,37.9,175,218,80.3,52,217,269,127,68,33,9,71,1399.3,3,0,-64
Kevin Love,CLE,31,47,12,35,1461,821,277,608,45.6,121,318,38.1,146,172,84.9,40,410,450,139,117,28,15,74,1581.5,19,0,-301
Kendrick Nunn,MIA,24,53,35,18,1590,820,322,726,44.4,105,301,34.9,71,84,84.5,14,127,141,187,91,47,11,118,1352.7,0,0,108
Tim Hardaway Jr.,DAL,27,54,33,21,1492,816,283,648,43.7,152,374,40.6,98,122,80.3,21,144,165,108,51,32,4,93,1233,0,0,300
Alec Burks,PHI,28,51,13,38,1455,802,254,629,40.4,87,235,37,207,231,89.6,39,195,234,155,77,52,17,112,1445.3,1,0,-267
JJ Redick,NOP,35,52,23,29,1401,802,251,558,45,156,345,45.2,144,160,90,9,125,134,102,63,19,9,81,1136.8,0,0,-7
Kristaps Porzingis,DAL,24,43,25,18,1317,798,274,655,41.8,101,286,35.3,149,191,78,70,323,393,67,72,30,84,135,1640.1,18,0,213
Jonas Valanciunas,MEM,27,53,26,27,1371,774,327,562,58.2,27,72,37.5,93,129,72.1,152,408,560,97,95,24,62,141,1754.5,26,0,-30
De'Aaron Fox,SAC,22,38,14,24,1202,755,272,579,47,39,124,31.5,172,254,67.7,26,131,157,264,126,55,20,109,1438.4,7,0,-91
Eric Bledsoe,MIL,30,48,42,6,1300,752,278,577,48.2,60,175,34.3,136,164,82.9,35,192,227,260,115,45,23,102,1503.4,1,0,414
Will Barton,DEN,29,50,34,16,1656,748,284,638,44.5,90,237,38,90,119,75.6,73,251,324,190,71,53,26,106,1587.8,7,0,243
Joe Harris,BKN,28,54,26,28,1693,744,280,597,46.9,129,320,40.3,55,73,75.3,48,182,230,114,76,35,14,124,1262,0,0,121
Serge Ibaka,TOR,30,46,33,13,1246,741,301,570,52.8,58,142,40.8,81,109,74.3,96,277,373,61,91,24,39,128,1378.1,16,0,99
Miles Bridges,CHA,21,56,19,37,1725,739,281,642,43.8,88,258,34.1,89,111,80.2,78,234,312,98,84,36,40,118,1404.4,4,0,-393
Paul George,LAC,29,34,23,11,1001,739,243,570,42.6,111,282,39.4,142,158,89.9,15,192,207,133,102,45,18,83,1273.9,5,0,152
Terrence Ross,ORL,29,54,23,31,1447,727,246,639,38.5,121,375,32.3,114,137,83.2,13,153,166,59,53,61,19,78,1201.7,0,0,-118
Goran Dragic,MIA,33,45,29,16,1269,726,245,546,44.9,101,260,38.8,135,177,76.3,20,115,135,224,115,27,8,83,1214,2,0,90
Duncan Robinson,MIA,25,56,36,20,1639,710,236,516,45.7,197,454,43.4,41,46,89.1,8,170,178,80,45,28,13,160,1121.6,1,0,234
Aaron Gordon,ORL,24,50,22,28,1615,704,265,628,42.2,60,198,30.3,114,170,67.1,87,284,371,161,78,40,25,101,1507.7,14,0,-125
Malcolm Brogdon,IND,27,43,26,17,1327,700,257,597,43,56,182,30.8,130,145,89.7,38,167,205,311,106,30,8,79,1420.5,9,0,46
Davis Bertans,WAS,27,46,16,30,1354,692,222,510,43.5,163,386,42.2,85,98,86.7,33,182,215,82,48,33,30,116,1214,1,0,16
Robert Covington,HOU,29,54,19,35,1602,692,243,565,43,126,366,34.4,80,100,80,44,285,329,66,79,87,59,169,1544.8,3,0,19
Coby White,CHI,20,58,20,38,1435,690,248,653,38,110,317,34.7,84,109,77.1,26,175,201,139,92,44,6,101,1197.7,0,0,-167
Lauri Markkanen,CHI,22,46,17,29,1395,690,233,550,42.4,101,294,34.4,123,149,82.6,57,241,298,70,77,39,22,92,1258.6,3,0,-76
Eric Paschall,GSW,23,52,11,41,1396,687,263,541,48.6,30,106,28.3,131,169,77.5,74,171,245,87,83,30,13,111,1157.5,4,0,-348
Nemanja Bjelica,SAC,31,56,23,33,1593,683,258,534,48.3,115,257,44.7,52,63,82.5,94,263,357,157,81,49,32,172,1508.9,6,0,-43
Taurean Prince,BKN,25,55,26,29,1625,680,246,640,38.4,133,378,35.2,55,71,77.5,43,292,335,109,110,51,23,133,1357.5,8,0,84
Gordon Hayward,BOS,29,39,26,13,1304,678,266,526,50.6,62,162,38.3,84,97,86.6,41,221,262,166,69,29,17,69,1310.4,7,0,238
Darius Garland,CLE,20,55,15,40,1685,677,258,647,39.9,100,282,35.5,61,70,87.1,24,78,102,213,144,40,2,88,1100.9,1,0,-290
John Collins,ATL,22,32,12,20,1035,666,269,466,57.7,41,110,37.3,87,108,80.6,85,245,330,44,55,22,54,115,1301,17,0,-156
De'Andre Hunter,ATL,22,54,16,38,1704,664,243,588,41.3,90,255,35.3,88,116,75.9,30,186,216,98,86,42,15,149,1155.2,1,0,-227
Markelle Fultz,ORL,21,55,24,31,1548,657,270,577,46.8,27,102,26.5,90,120,75,25,164,189,277,112,72,9,104,1430.3,3,1,-35
Patty Mills,SAS,31,56,24,32,1281,656,221,518,42.7,134,348,38.5,80,95,84.2,18,72,90,103,47,44,5,85,1018.5,0,0,85
Carmelo Anthony,POR,35,42,19,23,1369,654,247,589,41.9,62,172,36,98,116,84.5,54,220,274,62,72,34,20,124,1165.8,4,0,-3
Bogdan Bogdanovic,SAC,27,45,21,24,1271,649,236,549,43,116,320,36.3,61,86,70.9,16,126,142,139,79,42,11,94,1107.9,2,0,-61
Glenn Robinson III,PHI,26,52,13,39,1575,645,257,530,48.5,68,176,38.6,63,74,85.1,67,165,232,88,51,50,15,86,1199.4,1,0,-279
Christian Wood,DET,24,55,19,36,1071,638,221,393,56.2,43,113,38.1,153,204,75,82,242,324,45,65,25,48,82,1248.3,9,0,88
RJ Barrett,NYK,19,46,13,33,1399,631,229,589,38.9,48,156,30.8,125,206,60.7,45,188,233,111,97,44,16,104,1160.1,2,0,-302
Tristan Thompson,CLE,28,52,15,37,1583,631,265,512,51.8,8,16,50,93,146,63.7,213,321,534,108,98,32,46,114,1569.8,24,0,-384
Jerami Grant,DEN,25,56,38,18,1465,628,223,480,46.5,74,191,38.7,108,147,73.5,48,151,199,63,46,36,48,116,1167.3,0,0,-80
Bryn Forbes,SAS,26,56,24,32,1413,620,214,521,41.1,130,340,38.2,62,75,82.7,12,106,118,104,47,31,0,104,963.6,0,0,-154
Cedi Osman,CLE,24,56,15,41,1628,617,230,517,44.5,106,275,38.5,51,80,63.8,28,174,202,135,78,46,15,135,1166.9,2,0,-316
Seth Curry,DAL,29,53,31,22,1270,616,219,460,47.6,111,259,42.9,67,75,89.3,25,102,127,105,52,32,8,86,993.9,0,0,111
Josh Richardson,PHI,26,43,26,17,1329,613,227,525,43.2,66,199,33.2,93,117,79.5,34,106,140,136,89,42,27,113,1103,0,0,106
Al Horford,PHI,33,52,31,21,1586,610,247,566,43.6,73,228,32,43,59,72.9,78,267,345,197,52,45,47,112,1543.5,4,0,64
Ricky Rubio,PHX,29,49,21,28,1535,607,210,522,40.2,53,158,33.5,134,161,83.2,35,182,217,423,131,70,9,120,1607.9,15,1,80
Tyler Herro,MIA,20,46,31,15,1273,603,219,529,41.4,99,252,39.3,66,79,83.5,14,172,186,91,72,29,7,58,998.7,0,0,-6
Brandon Clarke,MEM,23,49,27,22,1083,602,254,408,62.3,21,52,40.4,73,93,78.5,77,214,291,72,45,26,42,82,1218.2,3,0,15
Langston Galloway,DET,28,59,19,40,1528,602,207,476,43.5,117,294,39.8,71,82,86.6,28,102,130,94,37,42,10,82,1018,0,0,-88
Jarrett Allen,BKN,21,55,26,29,1447,598,233,366,63.7,0,5,0,132,209,63.2,168,358,526,77,62,33,79,129,1618.7,24,0,70
Doug McDermott,IND,28,57,33,24,1167,594,222,455,48.8,110,248,44.4,40,49,81.6,22,121,143,63,35,7,4,100,858.1,0,0,110
Tomas Satoransky,CHI,28,58,20,38,1671,592,216,490,44.1,62,183,33.9,98,113,86.7,62,154,216,316,111,76,7,121,1463.2,3,0,-15
Ish Smith,WAS,31,55,20,35,1457,586,245,541,45.3,51,143,35.7,45,67,67.2,27,149,176,261,69,48,23,78,1332.7,0,0,-82
P.J. Washington,CHA,21,49,18,31,1482,582,221,475,46.5,64,167,38.3,76,115,66.1,46,223,269,104,79,47,39,134,1239.8,4,0,-187
Norman Powell,TOR,26,38,29,9,1072,581,210,422,49.8,77,192,40.1,84,100,84,22,125,147,64,57,48,14,76,982.4,0,0,157
Thaddeus Young,CHI,31,57,20,37,1393,580,237,528,44.9,70,192,36.5,36,61,59,82,196,278,97,93,75,20,118,1251.1,2,0,-172
Brook Lopez,MIL,31,54,46,8,1441,579,212,495,42.8,74,252,29.4,81,97,83.5,34,208,242,91,53,37,135,124,1468.9,3,0,466
Cody Zeller,CHA,27,52,16,36,1200,578,228,440,51.8,17,71,23.9,105,152,69.1,144,228,372,75,65,35,24,130,1248.9,9,0,-205
Jeremy Lamb,IND,27,46,27,19,1291,577,216,479,45.1,53,158,33.5,92,110,83.6,24,176,200,96,50,55,22,104,1142,2,0,1
Kyle Kuzma,LAL,24,46,37,9,1137,577,214,493,43.4,65,202,32.2,84,115,73,42,159,201,61,73,16,19,86,941.7,2,0,136
Lonzo Ball,NOP,22,49,21,28,1570,576,216,540,40,114,311,36.7,30,53,56.6,54,241,295,333,146,65,24,96,1550.5,11,3,1
Ben McLemore,HOU,27,56,36,20,1309,572,193,435,44.4,142,362,39.2,44,58,75.9,18,107,125,50,42,35,12,113,896,1,0,224
Kevin Huerter,ATL,21,47,16,31,1443,572,209,508,41.1,107,279,38.4,47,57,82.5,28,166,194,162,77,41,21,111,1156.8,1,0,-197
OG Anunoby,TOR,22,56,41,15,1640,572,229,459,49.9,68,187,36.4,46,69,66.7,61,239,300,86,71,66,40,132,1308,5,0,221
Steven Adams,OKC,26,51,32,19,1382,564,233,400,58.3,1,3,33.3,97,160,60.6,173,313,486,128,76,40,58,100,1557.2,20,0,145
Jeff Teague,ATL,31,50,19,31,1290,563,185,426,43.4,38,103,36.9,155,178,87.1,21,99,120,279,105,40,16,97,1188.5,3,0,-148
Marcus Smart,BOS,25,45,30,15,1429,563,188,493,38.1,102,289,35.3,85,105,81,31,133,164,216,74,72,22,119,1291.8,1,0,197
Joe Ingles,UTA,32,56,36,20,1688,557,195,451,43.2,110,280,39.3,57,73,78.1,20,205,225,291,107,49,7,121,1324.5,2,0,228
Malik Monk,CHA,22,54,18,36,1142,556,208,475,43.8,58,200,29,82,100,82,26,130,156,111,77,24,16,72,952.7,1,0,-198
Myles Turner,IND,23,47,26,21,1367,550,194,434,44.7,66,197,33.5,96,126,76.2,55,236,291,56,60,36,89,117,1298.2,5,0,-15
Kyrie Irving,BKN,27,20,8,12,658,548,199,416,47.8,56,142,39.4,94,102,92.2,22,81,103,128,52,27,10,53,922.6,3,1,-7
Derrick White,SAS,25,54,24,30,1284,545,185,407,45.5,50,138,36.2,125,147,85,28,138,166,181,62,31,43,109,1175.7,0,0,-14
Clint Capela,ATL,25,39,22,17,1279,543,244,388,62.9,0,0,0,55,104,52.9,168,369,537,48,63,33,72,102,1511.4,27,0,60
Dejounte Murray,SAS,23,52,22,30,1284,541,221,458,48.3,29,75,38.7,70,88,79.5,60,240,300,209,97,87,13,112,1417.5,4,0,-147
Bobby Portis,NYK,25,56,17,39,1169,538,210,484,43.4,58,163,35.6,60,79,75.9,76,220,296,87,63,28,11,98,1077.7,5,0,-165
Furkan Korkmaz,PHI,22,56,34,22,1194,537,196,447,43.8,108,273,39.6,37,52,71.2,16,112,128,53,39,29,14,75,860.1,0,0,73
Josh Hart,NOP,24,50,21,29,1407,531,182,428,42.5,104,290,35.9,63,85,74.1,48,282,330,79,57,52,20,133,1204.5,8,0,-6
Troy Brown Jr.,WAS,20,52,19,33,1333,529,206,446,46.2,41,122,33.6,76,101,75.2,58,229,287,121,55,71,5,97,1227.9,4,0,-128
Dorian Finney-Smith,DAL,26,57,34,23,1701,528,188,412,45.6,90,241,37.3,62,86,72.1,116,204,320,86,57,39,32,133,1197,3,0,223
Jae Crowder,MIA,29,50,22,28,1463,528,172,444,38.7,95,297,32,89,110,80.9,45,262,307,132,57,58,17,103,1262.4,6,0,-102
Danuel House Jr.,HOU,26,50,32,18,1530,523,179,422,42.4,105,275,38.2,60,76,78.9,53,170,223,63,43,57,27,103,1094.1,2,0,127
Kentavious Caldwell-Pope,LAL,27,55,43,12,1396,523,187,400,46.8,78,192,40.6,71,88,80.7,35,82,117,95,50,45,11,100,923.9,0,0,185
Maxi Kleber,DAL,28,56,33,23,1400,518,182,390,46.7,90,237,38,64,71,90.1,90,204,294,58,40,15,64,127,1154.8,1,0,139
Anfernee Simons,POR,20,57,25,32,1265,515,191,471,40.6,66,197,33.5,67,83,80.7,22,117,139,86,54,20,9,114,843.8,1,0,-248
Garrett Temple,BKN,33,50,25,25,1412,511,178,474,37.6,102,312,32.7,53,69,76.8,25,149,174,123,53,40,21,89,1034.3,1,0,-10
Rudy Gay,SAS,33,53,22,31,1105,504,183,420,43.6,49,156,31.4,89,102,87.3,48,233,281,90,69,22,23,75,1042.2,4,0,-10
Damion Lee,GSW,27,41,9,32,1154,503,173,414,41.8,63,178,35.4,94,106,88.7,30,167,197,103,56,41,4,95,972.9,3,0,-113
Aaron Holiday,IND,23,50,30,20,1149,497,186,448,41.5,75,184,40.8,50,58,86.2,19,93,112,174,66,36,11,90,967.4,2,0,57
Bruce Brown,DET,23,56,18,38,1572,496,189,427,44.3,31,92,33.7,87,118,73.7,58,207,265,217,97,63,29,157,1318.5,4,0,-123
Gary Harris,DEN,25,48,33,15,1537,490,182,457,39.8,58,190,30.5,68,82,82.9,22,118,140,101,50,63,11,102,981.5,0,0,143
Isaiah Thomas,WAS,31,40,14,26,925,488,174,426,40.8,78,189,41.3,62,76,81.6,11,57,68,146,76,13,6,77,769.6,1,0,-201
Jarrett Culver,MIN,21,54,16,38,1315,488,193,495,39,55,195,28.2,47,103,45.6,60,122,182,100,73,52,36,104,1047.4,0,0,-67
Markieff Morris,LAL,30,44,14,30,988,486,175,389,45,75,189,39.7,61,79,77.2,24,149,173,69,70,26,11,104,838.1,1,0,-96
Monte Morris,DEN,24,57,39,18,1214,486,197,427,46.1,48,124,38.7,44,55,80,20,84,104,205,38,44,11,56,1045.3,0,0,74
Jabari Parker,SAC,24,33,7,26,852,484,199,399,49.9,31,116,26.7,55,74,74.3,54,141,195,60,60,42,15,94,919,2,0,-136
Richaun Holmes,SAC,26,37,14,23,1087,484,204,309,66,0,0,0,76,93,81.7,113,201,314,37,46,39,52,144,1143.3,13,0,7
Cam Reddish,ATL,20,50,14,36,1323,482,165,462,35.7,63,207,30.4,89,111,80.2,32,157,189,78,80,54,24,115,979.8,0,0,-261
Deandre Ayton,PHX,21,25,11,14,831,476,213,392,54.3,0,2,0,50,64,78.1,106,199,305,51,53,18,41,79,1042.5,17,0,71
Mitchell Robinson,NYK,21,52,16,36,1171,476,204,279,73.1,0,0,0,68,117,58.1,148,201,349,28,34,45,98,174,1331.8,4,0,-132
Kent Bazemore,SAC,30,56,26,30,1386,475,157,431,36.4,70,207,33.8,91,116,78.4,21,205,226,73,72,61,36,156,1074.7,0,0,-14
Justin Holiday,IND,30,57,33,24,1447,473,163,376,43.4,106,252,42.1,41,54,75.9,29,159,188,83,32,60,37,103,1082.1,0,0,60
Dario Saric,PHX,25,50,21,29,1213,470,175,397,44.1,59,189,31.2,61,72,84.7,76,218,294,94,63,30,12,111,1026.8,8,0,-68
Caris LeVert,BKN,25,30,14,16,832,469,174,439,39.6,47,127,37,74,104,71.2,28,82,110,107,77,33,5,54,798.5,0,0,-26
Jalen Brunson,DAL,23,57,34,23,1022,466,181,388,46.6,43,120,35.8,61,75,81.3,22,112,134,188,66,22,4,74,920.8,2,0,172
Donte DiVincenzo,MIL,23,51,46,5,1162,465,177,389,45.5,64,187,34.2,47,61,77,50,187,237,109,61,73,14,82,1112.9,0,0,402
Terence Davis,TOR,22,57,42,15,1003,464,171,358,47.8,85,202,42.1,37,42,88.1,45,155,200,97,58,31,12,93,920.5,1,0,261
Josh Okogie,MIN,21,53,16,37,1299,460,145,348,41.7,34,136,25,136,172,79.1,72,159,231,83,75,60,21,115,1029.7,0,0,-128
Mikal Bridges,PHX,23,57,23,34,1466,460,170,338,50.3,41,124,33.1,79,95,83.2,49,174,223,93,55,86,32,127,1166.1,0,0,48
Danny Green,LAL,32,54,42,12,1347,455,161,384,41.9,101,269,37.5,32,44,72.7,38,147,185,72,48,67,27,114,1019,0,0,266
Paul Millsap,DEN,35,37,24,13,908,451,157,324,48.5,41,91,45.1,96,113,85,72,149,221,57,46,33,26,105,932.7,4,0,250
Ivica Zubac,LAC,22,56,37,19,1000,450,180,302,59.6,0,2,0,90,122,73.8,147,254,401,60,48,11,56,132,1174.2,6,0,104
Larry Nance Jr.,CLE,27,47,12,35,1182,450,182,347,52.4,46,136,33.8,40,59,67.8,86,255,341,91,50,40,21,76,1128.7,9,0,-168
Mike Conley,UTA,32,33,19,14,927,446,154,395,39,58,164,35.4,80,102,78.4,20,90,110,140,60,22,4,73,806,0,0,26
Marquese Chriss,GSW,22,51,12,39,977,444,169,316,53.5,8,35,22.9,98,129,76,95,194,289,87,66,32,54,99,1113.3,4,0,-196
Rui Hachimura,WAS,22,32,11,21,923,443,184,376,48.9,14,59,23.7,61,73,83.6,49,145,194,53,31,25,5,71,814.3,3,0,-190
Luke Kennard,DET,23,28,11,17,922,442,151,342,44.2,73,183,39.9,67,75,89.3,9,89,98,115,43,12,6,65,743.1,0,0,-22
Daniel Theis,BOS,27,50,33,17,1159,441,177,317,55.8,23,69,33.3,64,87,73.6,110,214,324,77,42,32,66,174,1197.3,5,0,170
Eric Gordon,HOU,31,29,18,11,847,439,145,385,37.7,84,253,33.2,65,90,72.2,7,52,59,44,30,19,11,59,635.8,0,0,16
